timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1557479274233,0,JUnit Request,1000,Test successful,Thread Group 1-470,text,true,,0,0,1,1,null,0,0,0
1557479274236,0,JUnit Request,1000,Test successful,Thread Group 1-471,text,true,,0,0,1,1,null,0,0,0
1557479274239,0,JUnit Request,1000,Test successful,Thread Group 1-455,text,true,,0,0,1,1,null,0,0,0
1557479274242,0,JUnit Request,1000,Test successful,Thread Group 1-456,text,true,,0,0,1,1,null,0,0,0
1557479274245,0,JUnit Request,1000,Test successful,Thread Group 1-476,text,true,,0,0,1,1,null,0,0,0
1557479274248,0,JUnit Request,1000,Test successful,Thread Group 1-459,text,true,,0,0,1,1,null,0,0,0
1557479274251,0,JUnit Request,1000,Test successful,Thread Group 1-460,text,true,,0,0,1,1,null,0,0,0
1557479274253,0,JUnit Request,1000,Test successful,Thread Group 1-479,text,true,,0,0,1,1,null,0,0,0
1557479274253,0,JUnit Request,1000,Test successful,Thread Group 1-454,text,true,,0,0,1,1,null,0,0,0
1557479274253,0,JUnit Request,1000,Test successful,Thread Group 1-480,text,true,,0,0,3,3,null,0,0,0
1557479274253,0,JUnit Request,1000,Test successful,Thread Group 1-474,text,true,,0,0,3,3,null,0,0,0
1557479274253,0,JUnit Request,1000,Test successful,Thread Group 1-458,text,true,,0,0,1,1,null,0,0,0
1557479274254,0,JUnit Request,1000,Test successful,Thread Group 1-462,text,true,,0,0,1,1,null,0,0,0
1557479274255,0,JUnit Request,1000,Test successful,Thread Group 1-463,text,true,,0,0,1,1,null,0,0,0
1557479274257,0,JUnit Request,1000,Test successful,Thread Group 1-449,text,true,,0,0,1,1,null,0,0,0
1557479274257,0,JUnit Request,1000,Test successful,Thread Group 1-453,text,true,,0,0,1,1,null,0,0,0
1557479274257,0,JUnit Request,1000,Test successful,Thread Group 1-457,text,true,,0,0,1,1,null,0,0,0
1557479274259,0,JUnit Request,1000,Test successful,Thread Group 1-464,text,true,,0,0,1,1,null,0,0,0
1557479274260,0,JUnit Request,1000,Test successful,Thread Group 1-483,text,true,,0,0,1,1,null,0,0,0
1557479274262,0,JUnit Request,1000,Test successful,Thread Group 1-461,text,true,,0,0,3,3,null,0,0,0
1557479274262,0,JUnit Request,1000,Test successful,Thread Group 1-466,text,true,,0,0,3,3,null,0,0,0
1557479274262,0,JUnit Request,1000,Test successful,Thread Group 1-484,text,true,,0,0,3,3,null,0,0,0
1557479274264,0,JUnit Request,1000,Test successful,Thread Group 1-467,text,true,,0,0,1,1,null,0,0,0
1557479274267,0,JUnit Request,1000,Test successful,Thread Group 1-468,text,true,,0,0,1,1,null,0,0,0
1557479274269,0,JUnit Request,1000,Test successful,Thread Group 1-465,text,true,,0,0,1,1,null,0,0,0
1557479274270,0,JUnit Request,1000,Test successful,Thread Group 1-487,text,true,,0,0,1,1,null,0,0,0
1557479274273,0,JUnit Request,1000,Test successful,Thread Group 1-488,text,true,,0,0,1,1,null,0,0,0
